,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,37,46,45,14,42,30,11,57,21
Beltran_Leyva_Family,37,0,23,23,13,23,23,13,18,12
Familia,46,23,0,61,14,42,28,10,92,24
Golfo,45,23,61,0,20,51,15,18,180,22
Juarez,14,13,14,20,0,54,11,12,27,13
Sinaloa,42,23,42,51,54,0,27,23,65,32
Sinaloa_Family,30,23,28,15,11,27,0,7,20,14
Tijuana,11,13,10,18,12,23,7,0,14,20
Zetas,57,18,92,180,27,65,20,14,0,27
Otros,21,12,24,22,13,32,14,20,27,0
