Family,avg_degree,avg_strength,max_degree,years_present
Sinaloa,4.0476190476190474,56.76190476190476,9,21
Golfo,3.619047619047619,77.61904761904762,9,21
Tijuana,3.5238095238095237,20.571428571428573,9,21
Juarez,3.3333333333333335,26.761904761904763,9,21
Zetas,3.2857142857142856,80.66666666666667,9,21
Beltran_Leyva,3.0952380952380953,46.095238095238095,9,21
Familia,2.4285714285714284,45.857142857142854,9,21
Otros,2.1904761904761907,23.523809523809526,9,21
Sinaloa_Family,2.142857142857143,20.952380952380953,9,21
Beltran_Leyva_Family,2.0476190476190474,22.142857142857142,9,21
